,City,Covid Cases,,Oct Foreign visitor
0,Tuensang,2227,,3716
1,Lakshmeshwar,2351,,851179
2,Zira,2586,,324120
3,Yawal,5245,,5895858
4,Thana Bhawan,2458,,4150933
5,Ramdurg,2465,,851179
6,Pulgaon,7767,,5895858
7,Sadasivpet,2491,,168612
8,Nargund,2155,,851179
9,Neem-Ka-Thana,2002,,1972880
10,Memari,2237,,1991854
11,Nilanga,9823,,5895858
12,Naharlagun,2478,,7643
13,Pakaur,2682,,224385
14,Wai,10383,,5895858
15,Tarikere,2714,,851179
16,Malavalli,2408,,851179
17,Raisen,2406,,563486
18,Lahar,2317,,563486
19,Uravakonda,2571,,318085
20,Savanur,2368,,851179
21,Sirohi,2365,,1972880
22,Udhampur,2445,,78334
23,Umarga,16702,,5895858
24,Pratapgarh,1818,,1972880
25,Lingsugur,2636,,851179
26,Usilampatti,3230,,6264661
27,Palia Kalan,2215,,4150933
28,Wokha,2241,,3716
29,Rajpipla,2622,,381095
30,Vijayapura,2134,,851179
31,Rawatbhata,2317,,1972880
32,Sangaria,1996,,1972880
33,Paithan,4530,,5895858
34,Rahuri,7600,,5895858
35,Patti,2503,,324120
36,Zaidpur,2556,,4150933
37,Lalsot,2190,,1972880
38,Maihar,2219,,563486
39,Degana,2183,,1972880
40,Vedaranyam,3404,,6264661
41,Nawapur,3590,,5895858
42,Solan,2404,,543084
43,Vapi,2240,,381095
44,Almora,2458,,141605
45,Sanawad,2129,,563486
46,Warisaliganj,2277,,1235285
47,Revelganj,2247,,1235285
48,Sabalgarh,2309,,563486
49,Tuljapur,8922,,5895858
50,Simdega,2233,,224385
51,Musabani,2680,,224385
52,Kodungallur,3098,,1307152
53,Phulabani,2708,,89571
54,Umreth,2177,,381095
55,Narsipatnam,2154,,318085
56,Nautanwa,2219,,4150933
57,Rajgir,2250,,1235285
58,Yellandu,2312,,168612
59,Sathyamangalam,3180,,6264661
60,Pilibanga,2067,,1972880
61,Morshi,5096,,5895858
62,Pehowa,2107,,405359
63,Sonepur,2221,,1235285
64,Pappinisseri,2924,,1307152
65,Zamania,2180,,4150933
66,Mihijam,2600,,224385
67,Purna,9954,,5895858
68,"Shikarpur, Bulandshahr",2349,,4150933
69,Umaria,2160,,563486
70,Porsa,2528,,563486
71,Naugawan Sadat,2553,,4150933
72,Faizabad,2091,,4150933
73,Manuguru,2689,,168612
74,Ellenabad,2274,,405359
75,Udaipur,2369,,46665
76,Pipar City,2353,,1972880
77,Nanjikottai,2627,,6264661
78,Taranagar,2200,,1972880
79,Yerraguntla,2584,,318085
80,Satana,12924,,5895858
81,Sherghati,2361,,1235285
82,Sankeshwara,2466,,851179
83,Madikeri,2461,,851179
84,Thuraiyur,5538,,6264661
85,Sanand,2036,,381095
86,Rajula,2227,,381095
87,Kyathampalle,2668,,168612
88,"Shahabad, Rampur",2264,,4150933
89,Tilda Newra,2863,,8564
90,Narsinghgarh,2653,,563486
91,Chittur-Thathamangalam,2913,,1307152
92,Malaj Khand,2209,,563486
93,Sarangpur,2429,,563486
94,Robertsganj,2466,,4150933
95,Sirkali,9070,,6264661
96,Radhanpur,2516,,381095
97,Tiruchendur,8287,,6264661
98,Utraula,2203,,4150933
99,Patratu,2196,,224385
100,"Vijainagar, Ajmer",2227,,1972880
101,Periyasemur,2690,,6264661
